current_time,domain,bd_index,reverse_index,chinese,url,illegal,pan_analysis,sgsr
2016-03-24,0472tr.com,0,0,no_language,,正常,正常,1
2016-03-24,1hang.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,0hui.cn,0,0,no_language,,正常,正常,1
2016-03-24,0745888.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,2000book.com,0,0,no_language,,正常,正常,1
2016-03-24,0531wanmao.com,1,1,english,,正常,正常,1
2016-03-24,17maiba.net,0,0,no_language,,正常,正常,1
2016-03-24,027laser.cn,0,0,no_language,,正常,正常,1
2016-03-24,079fhm.com,0,0,no_language,,正常,正常,1
2016-03-24,1and1ys.com,0,0,no_language,,正常,正常,1
2016-03-24,2000i.cn,0,0,no_language,,正常,正常,2
2016-03-24,0459400.com,0,0,no_language,,正常,正常,1
2016-03-24,4006770770.com,0,0,no_language,,正常,正常,1
2016-03-24,190330446.cn,0,0,no_language,,正常,正常,1
2016-03-24,125346800.cn,2,2,english,,正常,正常,1
2016-03-24,3102211.com,0,0,no_language,,正常,正常,1
2016-03-24,0576lab.com,0,0,no_language,,正常,正常,1
2016-03-24,123shsd.com,1,1,chinese,,正常,正常,1
2016-03-24,51lzd.cn,0,0,no_language,,正常,正常,1
2016-03-24,52bridge.com,0,0,no_language,,正常,正常,1
2016-03-24,47309099.cn,0,0,no_language,,正常,正常,1
2016-03-24,5258shop.com,16,10,chinese,,包含违禁词,正常,1
2016-03-24,04bu.cn,0,0,no_language,,正常,正常,1
2016-03-24,3203117.cn,0,0,no_language,,正常,正常,1
2016-03-24,52hzd.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,5118cn.com,0,0,no_language,,正常,正常,1
2016-03-24,15yjgood.com,0,0,no_language,,正常,正常,1
2016-03-24,4000402887.com,1,1,chinese,,正常,正常,2
2016-03-24,15rato.com,0,0,no_language,,正常,正常,1
2016-03-24,3zfj.com,0,0,no_language,,正常,正常,1
2016-03-24,024moilds.com,0,0,no_language,,正常,正常,1
2016-03-24,0731zycw.com,0,0,no_language,,正常,正常,1
2016-03-24,024ppdl.com,0,0,no_language,,正常,正常,1
2016-03-24,024yhbaby.com,0,0,no_language,,正常,正常,2
2016-03-24,51reshui.cn,760,10,chinese,,包含违禁词,正常,1
2016-03-24,3mby.net,0,0,no_language,,正常,正常,1
2016-03-24,17taoo.com,1,1,english,,正常,正常,1
2016-03-24,3g3c168.com,0,0,no_language,,正常,正常,1
2016-03-24,4008303082.com,0,0,no_language,,正常,正常,1
2016-03-24,52yjm.com,0,0,no_language,,正常,正常,1
2016-03-24,021hongyu.com,0,0,no_language,,正常,正常,1
2016-03-24,0595xiqi.cn,1,1,english,,包含违禁词,正常,1
2016-03-24,0769bst.com,0,0,no_language,,正常,正常,1
2016-03-24,13805714597.cn,0,0,no_language,,正常,正常,1
2016-03-24,13599080186.cn,0,0,no_language,,正常,正常,1
2016-03-24,369xf.com,0,0,no_language,,正常,正常,1
2016-03-24,51sjst.com,1,1,chinese,,正常,正常,2
2016-03-24,086dn.com,0,0,no_language,,正常,正常,1
2016-03-24,365kfll.com,3,3,chinese,,包含违禁词,正常,1
2016-03-24,16yx.net,0,0,no_language,,正常,正常,1
2016-03-24,0769ad.cn,0,0,no_language,,正常,正常,1
2016-03-24,51dcorp.com,0,0,no_language,,正常,正常,1
2016-03-24,024zc.net.cn,1,1,english,,正常,正常,1
2016-03-24,121385ZCWZ.com,0,0,no_language,,正常,正常,1
2016-03-24,07311860.com,2,2,chinese,,包含违禁词,正常,1
2016-03-24,3syn.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,2003nbzl.com,0,0,no_language,,正常,正常,1
2016-03-24,3102211.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,15hxpj.com,0,0,no_language,,正常,正常,1
2016-03-24,4009973966.com,0,0,no_language,,正常,正常,1
2016-03-24,5191n.com,0,0,no_language,,正常,正常,1
2016-03-24,0576wj.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,100-good.com,0,0,no_language,,正常,正常,1
2016-03-24,1920144196.com,0,0,no_language,,正常,正常,1
2016-03-24,52cyg.com,0,0,no_language,,正常,正常,1
2016-03-24,023glue.com,0,0,no_language,,正常,正常,1
2016-03-24,1534276858.com,0,0,no_language,,正常,正常,1
2016-03-24,315chana.com,0,0,no_language,,正常,正常,1
2016-03-24,0731future.com,0,0,no_language,,正常,正常,1
2016-03-24,3hglass.cn,0,0,no_language,,正常,正常,1
2016-03-24,2009jy.com,0,0,no_language,,正常,正常,1
2016-03-24,4159768.cn,0,0,no_language,,正常,正常,1
2016-03-24,0769-jc.com,1,1,chinese,,正常,正常,1
2016-03-24,190522261.com,0,0,no_language,,正常,正常,1
2016-03-24,168ycs.com,0,0,no_language,,正常,正常,1
2016-03-24,0510jx.com,0,0,no_language,,正常,正常,1
2016-03-24,51dcj.cn,0,0,no_language,,正常,正常,1
2016-03-24,51870091.com,0,0,no_language,,正常,正常,1
2016-03-24,1101783950.com,0,0,no_language,,正常,正常,1
2016-03-24,07314-idc.com,0,0,no_language,,正常,正常,1
2016-03-24,15zhongxin.com,0,0,no_language,,正常,正常,1
2016-03-24,400580.net,0,0,no_language,,正常,正常,1
2016-03-24,51yuan.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,51hnmm.com,0,0,no_language,,正常,正常,1
2016-03-24,52black.com,0,0,no_language,,正常,正常,2
2016-03-24,16mayi.com,0,0,no_language,,正常,正常,1
2016-03-24,51youxiao.com,0,0,no_language,,正常,正常,2
2016-03-24,4000979611.com,1,1,chinese,,包含违禁词,正常,1
2016-03-24,51-gis.com,0,0,no_language,,正常,正常,1
2016-03-24,15907730199.cn,0,0,no_language,,正常,正常,1
2016-03-24,321fw.com,0,0,no_language,,正常,正常,1
2016-03-24,024nb.com,0,0,no_language,,正常,正常,3
2016-03-24,1988seo.com,0,0,no_language,,正常,正常,1
2016-03-24,0512pfw.com,0,0,no_language,,正常,正常,1
2016-03-24,0898valve.com,0,0,no_language,,正常,正常,1
2016-03-24,0730ft.com,1,1,english,,正常,正常,1
2016-03-24,52arting.com,0,0,no_language,,正常,正常,1
2016-03-24,0731mp.net,0,0,no_language,,正常,正常,1
2016-03-24,163golf.com,0,0,no_language,,正常,正常,1
2016-03-24,024ktld.com,0,0,no_language,,正常,正常,1
2016-03-24,027louti.com,0,0,no_language,,正常,正常,1
2016-03-24,16818986.com,0,0,no_language,,正常,正常,1
2016-03-24,58caidie.com,0,0,no_language,,正常,正常,1
2016-03-24,4007360036.com,0,0,no_language,,正常,正常,2
2016-03-24,18dianqi.com,0,0,no_language,,正常,正常,1
2016-03-24,201hy.cn,1,1,chinese,,正常,正常,1
2016-03-24,2wtimes.com,0,0,no_language,,正常,正常,1
2016-03-24,4007098988.com,0,0,no_language,,正常,正常,1
2016-03-24,191ibm.com,0,0,no_language,,正常,正常,1
2016-03-24,101wmfz.com,0,0,no_language,,正常,正常,1
2016-03-24,25wtjd.com,0,0,no_language,,正常,正常,1
2016-03-24,52or.com.cn,260,10,chinese,,正常,正常,1
2016-03-24,51scjb.com,0,0,no_language,,正常,正常,1
2016-03-24,58cisco.com,0,0,no_language,,正常,正常,1
2016-03-24,858880000.com,0,0,no_language,,正常,正常,1
2016-03-24,86xuda.cn,0,0,no_language,,正常,正常,1
2016-03-24,3dusb.com.cn,1,1,english,,正常,正常,1
2016-03-24,act100.com.cn,1,1,english,,正常,正常,1
2016-03-24,322100.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,a18198.cn,0,0,no_language,,正常,正常,1
2016-03-24,91kgyl.cn,41,10,chinese,,正常,泛解析,1
2016-03-24,51dccn.com,0,0,no_language,,正常,正常,1
2016-03-24,315ck.com,1,1,chinese,,正常,正常,1
2016-03-24,10086yw.com,0,0,no_language,,正常,正常,1
2016-03-24,86dkj.com,9,9,chinese,,包含违禁词,泛解析,3
2016-03-24,aifeifushi.com,0,0,no_language,,正常,正常,1
2016-03-24,ad7x.com,0,0,no_language,,正常,正常,1
2016-03-24,4006999127.com,0,0,no_language,,正常,正常,1
2016-03-24,52comp.com,207,10,chinese,,包含违禁词,泛解析,1
2016-03-24,52eno.com,0,0,no_language,,正常,正常,1
2016-03-24,020hongfeng.cn,0,0,no_language,,正常,正常,1
2016-03-24,ad-bwt.cn,0,0,no_language,,正常,正常,1
2016-03-24,52yixi.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,7950293.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,a8921.com,0,0,no_language,,正常,正常,1
2016-03-24,aazzyy520.cn,4,4,chinese,,正常,正常,1
2016-03-24,62222622.cn,0,0,no_language,,正常,正常,1
2016-03-24,aipujia888.com,0,0,no_language,,正常,正常,1
2016-03-24,51tdf.com,0,0,no_language,,正常,正常,1
2016-03-24,56ejia.com,0,0,no_language,,正常,正常,1
2016-03-24,aimlife888.com,0,0,no_language,,正常,正常,1
2016-03-24,30brand.com,0,0,no_language,,正常,正常,1
2016-03-24,9tudi.com,0,0,no_language,,正常,正常,1
2016-03-24,ah2sjx.cn,1,1,english,,正常,正常,1
2016-03-24,a13266650.com,0,0,no_language,,正常,正常,1
2016-03-24,acjalarm.com,0,0,no_language,,正常,正常,1
2016-03-24,986binbin.com,0,0,no_language,,正常,正常,1
2016-03-24,530love.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,84314395.cn,760,10,chinese,,包含违禁词,泛解析,1
2016-03-24,51zhenli.com,1,1,chinese,,正常,正常,1
2016-03-24,51tudoufen.com,0,0,no_language,,正常,正常,1
2016-03-24,aaa361.com,0,0,no_language,,正常,正常,1
2016-03-24,ahlakh.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,acyz168.cn,0,0,no_language,,正常,正常,1
2016-03-24,abcdef12588.cn,1,1,chinese,,正常,正常,1
2016-03-24,ad-motor.com,0,0,no_language,,正常,正常,1
2016-03-24,88sheng.com.cn,1,1,chinese,,正常,正常,1
2016-03-24,8858shop.cn,0,0,no_language,,正常,正常,1
2016-03-24,ahxinguo.cn,0,0,no_language,,正常,正常,1
2016-03-24,adachi-cn.com,0,0,no_language,,正常,正常,1
2016-03-24,abddcc.com,0,0,no_language,,正常,正常,1
2016-03-24,9991book.com,0,0,no_language,,正常,正常,1
2016-03-24,85088098.cn,0,0,no_language,,正常,正常,1
2016-03-24,86gy.net,0,0,no_language,,正常,正常,1
2016-03-24,abemc.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,ahshilihe.cn,0,0,no_language,,正常,正常,1
2016-03-24,66869986.com,0,0,no_language,,正常,正常,1
2016-03-24,ailipu168.cn,0,0,no_language,,正常,正常,1
