sr,bd_index,daopai,score,word
2,0,0,无数据,2000i.cn
1,1,1,无数据,123shsd.com
2,0,0,较安全,024yhbaby.com
2,1,1,无数据,4000402887.com
2,1,1,不安全,51sjst.com
2,0,0,较安全,51youxiao.com
1,1,1,无数据,0769-jc.com
2,0,0,无数据,52black.com
3,0,0,无数据,024nb.com
2,0,0,无数据,4007360036.com
1,1,1,无数据,201hy.cn
1,260,10,无数据,52or.com.cn
1,1,1,无数据,315ck.com
1,4,4,无数据,aazzyy520.cn
1,1,1,无数据,abcdef12588.cn
1,1,1,无数据,51zhenli.com
1,1,1,无数据,88sheng.com.cn
1,1,1,无数据,abcda88.com
1,587,10,无数据,ab-alu.cn
2,0,0,无数据,91dalishi.com
2,1,1,无数据,aobohj.com
3,1,1,无数据,aipu-cable.com
1,1,1,无数据,allybo.com
2,0,0,无数据,anbishin.com
1,1,1,无数据,apgy365.cn
2,0,0,无数据,asczm.com
1,1,1,不安全,baoshengjc.com
2,0,0,无数据,aibosj.com
1,1,1,无数据,antonyiwu.com
1,1,1,较安全,bags99.com.cn
2,0,0,较安全,52jkml.com
1,1,1,无数据,asyafeng.com
2,0,0,无数据,ambipiao.cn
1,1,1,无数据,860411xh.com
1,1,1,无数据,bi-gao.com
1,1,1,无数据,bioelitecn.com
2,0,0,无数据,bhwtex.com
1,1,1,不安全,9jsk.com
2,0,0,无数据,biwin-gift.com
1,2,2,无数据,82035806.com
1,1,1,无数据,bj-uw.com
2,0,0,无数据,ainiaosi.com
2,0,0,无数据,bc-foods.com
1,1,1,无数据,bjamir.com
2,0,0,不安全,bjskfnsk.com
1,1,1,无数据,apaclyc.com
2,0,0,无数据,bjjuejin.com
1,1,1,无数据,bochi88.com
2,0,0,较安全,bq710.com
1,5,5,无数据,bjxpjy98.com
2,0,0,不安全,aixingelec.com
1,1,1,无数据,bsm0731.com
2,0,0,较安全,bjstxsd.com
1,2,2,无数据,bohai56.com
1,1,1,无数据,bdsmdcx.cn
1,1,1,无数据,bopptape.cn
2,0,0,无数据,0576-laser.com
1,2,2,无数据,bjsantachi.com
1,2,2,无数据,caihuidiy.com
1,1,1,无数据,bonheur.net.cn
2,0,0,不安全,cclykj.com
2,0,0,无数据,0731joy.com
2,1,1,无数据,086mlyz.com
2,0,0,不安全,cdma1xcn.com
1,1,1,无数据,ccscan.com.cn
1,1,1,无数据,caizhidz.cn
1,1,1,无数据,cameralee.com
2,0,0,较安全,7pincafe.com
1,1,1,无数据,benj99.com
1,1,1,无数据,cfxjzyc.com
1,1,1,无数据,bearing-1.com
1,1,1,不安全,anterhy.com
1,1,1,无数据,cfguangy.com
3,0,0,无数据,cgbxgcl.com
2,0,0,无数据,aomigg.com
1,1,1,无数据,catly.net.cn
1,1,1,无数据,cdchzz.com.cn
2,0,0,无数据,chinajcfj.com
1,1,1,无数据,chaotsian.com
2,1,1,较安全,china-zthb.com
2,0,0,无数据,chinaholta.com
2,0,0,无数据,chinabien.com
2,0,0,无数据,chuanyeled.com
1,1,1,无数据,china-dfb.com
2,0,0,无数据,cn-huaqing.com
2,0,0,无数据,chunhuixl.com
1,2,2,无数据,bishengpx.com
2,0,0,无数据,cnguogang.com
1,1,1,无数据,cnguider.com
1,1,1,无数据,chu-yun.com
2,0,0,无数据,chinacyv.com
2,0,0,无数据,chinawacom.cn
1,1,1,无数据,chinasqhr.com
1,1,1,无数据,bc1178.com
1,1,1,无数据,cnlg82.cn
1,1,1,无数据,cnweinisi.com
2,1,1,不安全,cnhuihai.com
2,0,0,较安全,bjlemei.com
1,1,1,无数据,cn-heat.com
1,1,1,无数据,cnmoonlake.com
1,1,1,无数据,cnkaisi.com
1,1,1,无数据,cnzxhg.com
2,0,0,不安全,cnszcf.com
1,1,1,无数据,cnyxtex.com.cn
2,0,0,较安全,cn-model.com
1,1,1,无数据,bjls56.com
1,2,2,无数据,cnmaiqi.com
2,0,0,无数据,cnwdzy.com
3,0,0,无数据,cm010.com
2,0,0,无数据,chinaairbag.cn
2,0,0,无数据,cnkyi.com
1,760,10,无数据,biyanzhong.cn
1,1,1,无数据,024fengyun.com
1,1,1,无数据,coopoll.com
2,1,1,无数据,cqzdhl.com
1,1,1,无数据,csduli.com
1,13,10,无数据,cnchanjuan.com
1,2,2,不安全,cskujie.com
2,0,0,无数据,cscqmm.com
2,0,0,无数据,bxfoods.com
1,1,1,无数据,52todsy.com
2,0,0,较安全,cslcdz.com
1,1,1,较安全,cs1818.com.cn
1,1,1,不安全,csgadz.com
1,1,1,无数据,cspd168.cn
2,0,0,无数据,cqpqsb.com
2,0,0,无数据,csjiafu.net
2,0,0,无数据,cslhztss.com
1,6,6,无数据,cszhongjia.com
1,20,10,无数据,bfkyjc.com
1,1,1,无数据,czfurong.cn
1,1,1,无数据,czjcqp.com.cn
3,0,0,不安全,csjdsoft.com
2,0,0,不安全,cssaike.com
1,1,1,无数据,cycncorp.com
1,2,2,较安全,cslhkj.com
1,1,1,无数据,daikin100.com
2,0,0,无数据,dbcglw.com
1,19,10,无数据,DABOKing.cn
2,0,0,无数据,dameibicai.com
2,1,1,无数据,dahuaspjx.com
2,0,0,较安全,czjqmm.com
1,1,1,无数据,dadiqiche.com
3,2,2,无数据,czsanjie.com
1,1,1,无数据,dc-adc.com.cn
1,1,1,无数据,cxxsy.net.cn
1,1,1,无数据,cxjfgy.com
1,1,1,无数据,czhhxsy.com.cn
1,1,1,无数据,csmiaopu.com
2,0,0,不安全,dazhongdq.com
1,1,1,无数据,dachengxy.cn
1,1,1,不安全,cnzjxm.com
1,39,10,无数据,caigoo.com.cn
1,1,1,较安全,desheng999.cn
2,0,0,无数据,daweifuse.cn
2,1,1,无数据,cdwxtx.com
1,2,2,不安全,developovc.com
1,1,1,较安全,dezhao.net.cn
1,1,1,无数据,dakecn.com
1,2,2,不安全,bgtlsb.com
1,1,1,较安全,deyangkeji.cn
1,2,2,无数据,dg-kexing.com
3,0,0,较安全,cq-17.com
2,0,0,无数据,dfruichi.com
2,0,0,较安全,chinasova.com
2,0,0,无数据,chn-3d.com
2,0,0,不安全,cct-ty.com
2,0,0,无数据,chminzu.com
1,1,1,较安全,clw1688.com
3,0,0,不安全,cnguoxu.com
1,1,1,无数据,cnfag.cn
2,0,0,无数据,dfjnjt.com
2,0,0,无数据,dgdonf.com
2,0,0,无数据,dfh2008.com
1,1,1,无数据,dgjclp.com
2,0,0,较安全,dgmengmeisi.cn
2,0,0,较安全,dgkssj.com
1,2,2,不安全,bpqonline.com
2,0,0,无数据,dginoue.com
2,0,0,不安全,dgmiyuan.com
2,0,0,无数据,dddopaint.com
3,0,0,不安全,dghmtx.com
1,1,1,无数据,dgwenyuan.com
1,1,1,无数据,dijia-led.com
1,1,1,无数据,cszhlj.com
2,0,0,无数据,dgshidai.com
2,0,0,无数据,cnsycw.cn
1,23,10,无数据,dgxiede.com
1,1,1,无数据,cshwxh.com
3,0,0,无数据,diping88.com
1,2,2,较安全,dgjsgc.com.cn
1,1,1,无数据,csyongjian.com
2,0,0,无数据,cnctyg.com
1,1,1,无数据,cxtmaoyi.com
1,1,1,无数据,csmyjj.com
1,1,1,较安全,csjinh.com
1,1,1,不安全,cxytdq.com
1,1,1,无数据,dltape.com
1,1,1,无数据,dl-wl.com
3,2,2,较安全,dlyezhan.com
2,0,0,无数据,dldongyu.cn
3,0,0,无数据,dlqfs.com.cn
1,1,1,无数据,dlwzmy.com
2,0,0,无数据,bjhtgc.com
1,1,1,无数据,daomeiren.cn
2,0,0,无数据,dlgkn.com.cn
1,1,1,无数据,dlftsp.cn
1,1,1,无数据,dgnengwang.com
2,0,0,无数据,dlsie.com
2,0,0,无数据,dljieyi.com
2,1,1,无数据,dingxingxs.com
1,1,1,无数据,dfzsjpd.com
2,0,0,无数据,dodods.com
1,1,1,无数据,dlzyjx.cn
1,760,10,无数据,dldinghua.cn
2,1,1,无数据,dggodwin.com
1,4,4,无数据,dgnanyue.cn
1,1,1,无数据,dtglmy.cn
2,0,0,无数据,duanzaoqd.com
2,0,0,无数据,dlhqsljx.cn
2,0,0,无数据,dwlchem.com
2,0,0,无数据,dgtanchun.com
2,0,0,无数据,dldfjc.com
2,0,0,无数据,dgtielong.com
1,1,1,无数据,dzlgift.com.cn
2,1,1,无数据,dllcmy.com.cn
1,1,1,无数据,dlgunchiji.com
1,1,1,无数据,elitecyh.cn
1,1,1,无数据,dx-cnc.net
2,1,1,无数据,dlzdjm.cn
2,0,0,无数据,cnyongwang.com
1,1,1,无数据,djqyml.com
3,0,0,无数据,era-oem.com
2,0,0,无数据,eitvs.com
2,0,0,无数据,etunne.com
1,1,1,无数据,dycljx.com
1,1,1,无数据,dl-jewelry.cn
1,2,2,无数据,etuhsu.com
1,1,1,无数据,dglh88.com.cn
2,3,3,无数据,dl-kairui.com
2,0,0,无数据,fawsyx.cn
2,2,2,无数据,fanyico.com
3,1,1,无数据,eeree.net
1,1,1,无数据,erfu-tea.com
1,4,4,无数据,dlhotek.com.cn
1,1,1,无数据,fjrxjy.com
2,0,0,无数据,fasfx.cn
2,0,0,无数据,fshz56.com
2,1,1,无数据,dldetong.cn
1,2,2,无数据,fhjiasi.cn
2,1,1,无数据,ezhsoft.com
1,1,1,无数据,dl-shengyu.com
1,1,1,无数据,dlyindai.com
1,1,1,无数据,fengzechem.com
1,1,1,无数据,foto0769.com
2,1,1,无数据,fxbattery.com
1,1,1,无数据,fxjx365.com
2,0,0,无数据,dlchaofa.com
2,2,2,无数据,ddhskd.com
2,0,0,无数据,fstqgy.com
1,1,1,无数据,gdcmsj.cn
2,0,0,无数据,dmwh2008.com
2,0,0,无数据,gdjunhui.com
2,0,0,无数据,gdnlcc.com
2,1,1,无数据,gdtotem.com
1,1,1,无数据,fanyitrade.com
2,0,0,无数据,gdzhaoke.com
1,2,2,无数据,ginbni.com
2,0,0,无数据,gmgm168.cn
1,1,1,无数据,dlwell.cn
2,3,3,无数据,gdhuangda.com
2,45,10,无数据,goodow.com.cn
2,0,0,无数据,dfxl577.cn
2,0,0,无数据,gjkuaidi.com
1,1,1,无数据,dl-drdi.com.cn
1,1,1,无数据,guohuikeji.com
3,0,0,无数据,cinnowin.com
1,1,1,无数据,gyzyyt.cn
1,1,1,无数据,guoyu88.net
1,1,1,无数据,gz-telecom.com
2,0,0,无数据,gdhaiqi.com
1,1,1,无数据,gyzdj999.cn
